,City,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
146,la ronge,55.1001,-105.2842,30.45,74,20,10.36
147,san policarpo,12.1791,125.5072,83.16,78,33,4.34
148,shabo,46.1326,30.386,46.36,60,100,15.39
149,iskateley,67.6803,53.1512,20.05,82,19,14.43
150,awbari,26.5921,12.7805,63.77,28,8,9.93
151,vestmannaeyjar,63.4427,-20.2734,43.92,91,100,40.82
152,nome,64.5011,-165.4064,35.67,64,0,5.75
153,arraial do cabo,-22.9661,-42.0278,71.89,82,0,3.11
154,airai,-8.9266,125.4092,75.54,51,84,2.86
155,new norfolk,-42.7826,147.0587,55.54,52,68,7.0
156,austin,30.2672,-97.7431,66.85,88,100,12.66
157,mutsu,41.2894,141.2169,57.92,36,0,3.53
158,bambanglipuro,-7.95,110.2833,83.8,70,100,5.59
159,huarmey,-10.0681,-78.1522,67.42,86,22,8.9
160,kiruna,67.8557,20.2251,31.12,93,0,9.22
161,kodiak,57.79,-152.4072,36.91,81,100,9.22
162,todos santos,23.45,-110.2167,67.77,72,2,4.56
163,nouadhibou,20.931,-17.0347,66.18,88,95,11.5
164,beringovskiy,63.05,179.3167,31.62,99,100,6.71
165,palmer,42.1584,-72.3287,39.33,62,0,12.66
166,sompeta,18.9333,84.6,96.49,48,2,13.22
167,port hedland,-20.3167,118.5667,96.85,20,6,10.36
168,huicungo,-7.2833,-76.8,70.39,96,82,1.01
169,chernyshevskiy,63.0128,112.4714,24.22,71,96,6.22
170,bay roberts,47.5999,-53.2648,29.55,80,100,5.99
171,fare,-16.7,-151.0167,80.96,68,16,3.44
172,ayia marina,37.75,23.5333,51.64,66,1,5.35
173,dingle,10.9995,122.6711,88.07,59,84,11.39
174,mar del plata,-38.0023,-57.5575,60.87,96,100,4.0
175,xiamen,24.4798,118.0819,69.85,56,100,6.71
176,kasangulu,-4.5911,15.1708,72.48,98,100,1.63
177,dunedin,-45.8742,170.5036,59.81,83,100,7.0
178,quarai,-30.3875,-56.4514,60.42,89,42,7.07
179,alta floresta,-9.8756,-56.0861,70.52,98,91,3.4
180,kruisfontein,-34.0033,24.7314,59.07,87,3,5.73
181,khatanga,71.9667,102.5,11.91,86,73,5.46
182,laguna,38.421,-121.4238,54.97,67,0,8.05
183,qaanaaq,77.484,-69.3632,-9.54,89,100,6.93
184,nefteyugansk,61.0998,72.6035,34.14,97,100,14.09
185,thompson,55.7435,-97.8558,24.96,74,75,4.61
186,san felipe,10.3399,-68.7425,71.37,97,88,2.59
187,chingola,-12.529,27.8838,61.14,98,83,3.36
188,port alfred,-33.5906,26.891,62.19,94,36,13.02
189,lebu,-37.6167,-73.65,51.8,88,41,8.19
190,sisimiut,66.9395,-53.6735,7.36,80,73,10.02
191,tilichiki,60.4667,166.1,25.7,82,50,5.06
192,leningradskiy,69.3833,178.4167,25.38,93,97,5.93
193,lagoa,39.05,-27.9833,58.86,63,100,4.41
194,lompoc,34.6391,-120.4579,52.43,94,100,9.22
195,nhulunbuy,-12.2333,136.7667,86.61,70,40,16.11
196,miri,4.4148,114.0089,91.54,43,40,8.05
197,bouna,9.2667,-3.0,77.74,69,72,4.76
198,bethel,41.3712,-73.414,40.95,62,27,5.01
199,key largo,25.0865,-80.4473,77.77,75,66,23.02
200,kuryk,43.2,51.65,69.48,31,13,24.14
201,mosquera,4.7059,-74.2302,53.69,94,100,6.91
202,sao jose da coroa grande,-8.8978,-35.1478,76.75,87,18,5.19
203,terekli-mekteb,44.1671,45.8698,57.63,65,100,11.74
204,dakar,14.6937,-17.4441,68.88,88,79,14.12
205,araras,-22.3569,-47.3842,60.48,93,7,3.24
206,kenai,60.5544,-151.2583,39.33,49,0,9.22
207,charlottesville,38.0293,-78.4767,38.46,65,100,3.44
208,sao filipe,14.8961,-24.4956,70.72,82,78,3.4
209,vila velha,-20.3297,-40.2925,69.75,88,0,3.44
210,key west,24.5557,-81.7826,77.04,70,40,12.66
211,chiredzi,-21.05,31.6667,62.15,87,100,5.91
212,kurilsk,45.2333,147.8833,45.84,58,68,11.41
213,sorong,-0.8833,131.25,85.12,69,63,5.84
214,andenes,69.3143,16.1194,39.18,93,0,8.05
215,eyl,7.9803,49.8164,84.02,60,51,9.53
216,colares,38.7992,-9.4469,52.56,69,63,35.99
217,gat,31.61,34.7642,58.75,100,25,4.52
218,gizo,-8.103,156.8419,83.82,72,99,1.97
219,prince rupert,54.3161,-130.3201,41.09,87,100,34.52
220,nioki,-2.7167,17.6833,71.19,98,100,1.81
221,shasta lake,40.6804,-122.3708,46.22,79,34,3.85
222,rio gallegos,-51.6226,-69.2181,42.85,65,40,12.66
223,riacho de santana,-13.6092,-42.9389,71.29,70,90,8.68
224,nemuro,43.3236,145.575,43.99,65,2,25.66
225,kirakira,-10.4544,161.9205,83.57,75,100,5.86
226,rumonge,-3.9736,29.4386,71.74,90,100,5.91
227,poopo,-18.3667,-66.9667,44.15,38,58,3.36
228,burnie,-41.0667,145.9167,59.94,53,34,14.65
229,oistins,13.0667,-59.5333,77.09,83,75,17.27
230,maragheh,37.3917,46.2398,62.87,29,38,4.61
231,saint-augustin,51.226,-58.6502,29.1,97,100,16.6
232,narsaq,60.9167,-46.05,30.42,45,0,5.41
233,alice springs,-23.7,133.8833,72.95,25,3,10.36
234,srednekolymsk,67.45,153.6833,32.11,86,10,6.11
235,castro,-24.7911,-50.0119,53.94,97,2,4.07
236,pinawa,50.1489,-95.8811,31.71,91,100,11.01
237,yar-sale,66.8333,70.8333,17.42,87,75,22.32
238,georgetown,5.4112,100.3354,85.91,75,20,8.05
239,mount isa,-20.7333,139.5,91.17,19,52,14.97
240,lorengau,-2.0226,147.2712,85.3,69,65,10.4
241,bulancak,40.9372,38.2291,48.69,92,100,5.61
242,skjervoy,70.0311,20.9714,42.8,78,33,9.8
243,huruta,8.15,39.35,68.13,52,19,5.77
244,buala,-8.145,159.5921,84.58,71,97,7.07
245,coquimbo,-29.9533,-71.3436,53.33,87,0,5.75
246,medina,24.4686,39.6142,82.83,9,0,0.0
247,jiazi,22.8779,116.067,73.13,62,100,11.12
248,port blair,11.6667,92.75,89.64,62,40,8.05
249,artigas,-30.4,-56.4667,60.31,89,42,6.93
250,galbshtadt,53.2264,78.9845,43.59,74,100,11.23
251,lazaro cardenas,17.9583,-102.2,74.25,80,25,3.33
252,pisco,-13.7,-76.2167,64.45,88,0,10.36
253,faanui,-16.4833,-151.75,81.01,69,7,4.16
254,ajaccio,42.0,8.9167,42.78,76,0,5.75
255,kandi,11.1342,2.9386,81.93,54,80,5.79
256,madang,-5.2246,145.7966,83.25,72,100,4.74
257,pinar del rio,22.4175,-83.6981,68.29,84,0,6.04
258,bayir,37.2687,28.2167,39.72,81,4,3.62
259,grindavik,63.8424,-22.4338,43.27,87,100,33.38
260,harper,4.375,-7.7169,79.36,84,78,3.91
261,sao gabriel da cachoeira,-0.1303,-67.0892,72.57,99,100,1.77
262,esperance,-33.8667,121.9,64.24,60,96,6.71
263,mitsamiouli,-11.3847,43.2844,79.09,73,20,6.91
264,jiblah,13.9216,44.1467,68.09,45,0,6.31
265,prince george,53.9166,-122.753,28.08,90,0,2.3
266,darhan,49.4867,105.9228,42.64,28,51,17.67
267,camalu,30.85,-116.0667,60.04,82,11,8.55
268,iqaluit,63.7506,-68.5145,6.53,66,20,0.0
269,jian,27.1172,114.9793,70.11,61,73,4.16
270,kondinskoye,59.6481,67.41,37.33,92,97,6.38
271,basco,20.4487,121.9702,79.38,70,37,17.52
272,reconquista,-29.15,-59.65,61.09,92,0,7.58
273,gornyy,55.1153,83.9059,44.85,45,42,8.57
274,sarkand,45.41,79.9186,57.15,38,100,6.06
275,krasnoselkup,65.7,82.4667,20.34,88,100,15.5
276,altay,47.8667,88.1167,49.37,55,50,3.09
277,mandla,22.6,80.3833,101.97,11,3,10.87
278,listowel,52.4464,-9.485,37.11,90,5,3.83
279,xining,36.6167,101.7667,60.19,8,22,4.47
280,alyangula,-13.8483,136.4192,78.67,94,75,6.91
281,peace river,56.2501,-117.286,28.71,93,100,14.97
282,bengkulu,-3.8004,102.2655,85.57,65,100,9.4
283,surovikino,48.6078,42.8486,58.51,59,94,9.55
284,torrijos,39.9819,-4.2835,45.07,83,100,18.92
285,hobyo,5.3505,48.5268,84.34,62,21,13.91
286,talnakh,69.4865,88.3972,6.21,88,98,9.15
287,ampanihy,-24.7,44.75,74.52,81,85,12.86
288,dandong,40.1292,124.3947,65.32,39,0,15.73
289,pocatello,42.8713,-112.4455,38.89,53,0,13.8
290,alofi,-19.0595,-169.9187,80.49,83,100,4.61
291,almaznyy,48.0448,40.045,50.92,94,100,6.96
292,panaba,21.2833,-88.2667,72.97,84,0,7.96
293,shchors,51.8186,31.945,41.32,93,100,6.17
294,karratha,-20.7377,116.8463,94.71,29,5,10.69
295,roros,62.5747,11.3842,24.64,98,72,0.0
296,uddevalla,58.3478,11.9424,41.47,75,16,4.92
297,ahipara,-35.1667,173.1667,69.64,85,31,10.87
298,ostrovnoy,68.0531,39.5131,30.9,76,99,4.74
299,lucapa,-8.4192,20.7447,65.1,96,88,2.13
300,sambava,-14.2667,50.1667,80.53,76,70,11.59
301,superior,46.7208,-92.1041,34.66,61,100,10.36
302,dudinka,69.4058,86.1778,6.62,88,100,8.52
303,vanimo,-2.6741,141.3028,84.79,71,60,6.64
304,honiara,-9.4333,159.95,84.33,73,98,3.87
305,siguiri,11.6667,-9.5,84.78,17,98,1.21
306,killybegs,54.6333,-8.45,41.72,90,7,6.2
307,meridian,43.6121,-116.3915,41.02,89,100,6.91
308,outlook,51.5001,-107.0513,32.83,95,99,15.48
309,hoopstad,-27.8327,25.9083,51.91,74,0,6.04
310,witu,-2.3889,40.4382,82.56,82,100,8.52
311,cabo san lucas,22.8909,-109.9124,73.51,49,1,11.43
312,aluksne,57.4167,27.05,41.11,78,40,9.98
313,florencia,43.7667,11.25,52.52,79,40,3.44
314,beloha,-25.1667,45.05,76.71,77,39,13.47
315,pitimbu,-7.4706,-34.8086,75.79,83,15,5.73
316,jalu,29.0331,21.5482,56.59,65,1,2.39
317,jiwani,25.05,61.7417,81.23,56,0,5.88
318,kaitangata,-46.2817,169.8464,61.14,78,100,4.79
319,castelldefels,41.2779,1.9703,56.17,78,40,19.57
320,leshan,29.5623,103.7639,74.95,45,0,3.49
321,ribeirao,-8.5144,-35.3778,72.27,97,40,2.64
322,sigli,5.3848,95.9609,84.36,66,100,2.06
323,severo-kurilsk,50.6789,156.125,32.59,74,88,10.09
324,ceres,37.5949,-120.9577,55.38,53,74,7.65
325,olinda,-8.0089,-34.8553,74.93,100,75,5.75
326,bonavista,48.6499,-53.1147,30.43,81,100,20.24
327,tiarei,-17.5333,-149.3333,82.42,72,15,4.27
328,mfou,3.7159,11.6427,69.66,100,75,0.0
329,bintulu,3.1667,113.0333,88.92,70,20,2.3
330,kavieng,-2.5744,150.7967,85.26,66,76,14.18
331,derzhavinsk,51.1,66.3167,61.12,48,52,15.57
332,rock sound,24.9,-76.2,75.7,79,3,22.39
333,paraiso,9.8383,-83.8656,61.95,94,77,1.72
334,kahului,20.8947,-156.47,75.09,77,40,14.97
335,south venice,27.0531,-82.4243,65.62,69,0,14.97
336,bambous virieux,-20.3428,57.7575,80.85,89,75,11.5
337,qaqortoq,60.7167,-46.0333,26.19,41,0,17.76
338,morant bay,17.8815,-76.4093,76.62,87,25,6.35
339,udachnyy,66.4167,112.4,17.46,67,100,10.09
340,takoradi,4.8845,-1.7554,79.09,86,99,6.49
341,mount darwin,-16.7725,31.5838,61.92,83,91,3.09
342,khash,28.2211,61.2158,70.38,19,0,4.88
343,arcata,40.8665,-124.0828,48.78,83,20,3.44
344,lethem,3.3803,-59.7968,77.5,79,96,11.83
345,urozhaynoye,44.7883,44.9228,59.56,67,100,12.46
346,rozivka,46.9385,35.7724,47.05,77,99,9.31
347,callaguip,18.0714,120.4867,87.82,66,20,9.22
348,winnemucca,40.973,-117.7357,42.85,42,0,9.22
349,tasiilaq,65.6145,-37.6368,30.36,92,100,5.66
350,husavik,66.0449,-17.3389,31.6,92,82,5.7
351,carnduff,49.1667,-101.8009,29.37,92,100,11.36
352,kalemie,-5.9475,29.1947,70.74,88,100,1.19
353,saint-georges,12.0564,-61.7485,76.68,88,40,8.05
354,mao,39.8885,4.2658,57.76,94,40,5.75
355,vaasa,63.096,21.6158,37.42,81,0,1.14
356,guerrero negro,27.9769,-114.0611,61.29,81,65,13.11
357,kanakapura,12.55,77.4167,86.74,36,17,3.09
358,kuusamo,65.9667,29.1833,33.84,86,75,2.3
359,hun,29.1268,15.9477,57.79,29,47,9.64
360,vardo,70.3705,31.1107,36.82,90,100,14.85
361,verkhoyansk,67.5447,133.385,30.69,85,95,3.67
362,hambantota,6.1241,81.1185,88.14,74,20,2.3
363,mahebourg,-20.4081,57.7,80.89,89,75,11.5
364,chenzhou,25.8,113.0333,74.39,59,91,4.76
365,paamiut,61.994,-49.6678,14.4,70,4,17.67
366,talas,38.6908,35.5538,45.27,93,75,0.0
367,paceco,37.9787,12.5566,53.35,71,0,12.66
368,mizdah,31.4451,12.9801,56.84,23,63,3.94
369,ketchikan,55.3422,-131.6461,44.58,92,99,8.46
370,marang,5.2056,103.2059,86.94,74,100,2.55
371,viedma,-40.8135,-62.9967,62.35,37,96,8.9
372,forest lake,45.2789,-92.9852,42.67,49,100,4.0
373,puerto del rosario,28.5004,-13.8627,62.35,67,100,25.32
374,scarborough,54.2797,-0.4044,44.85,90,93,1.99
375,tarakan,3.3,117.6333,76.5,88,75,5.75
376,williams lake,52.1415,-122.1445,36.97,69,75,3.44
377,ozernovskiy,51.5,156.5167,31.21,72,85,4.5
378,villazon,-22.0866,-65.5942,44.69,58,28,4.21
379,traverse city,44.7631,-85.6206,26.24,91,28,1.81
380,sept-iles,50.2001,-66.3821,32.07,97,100,32.21
381,whitehorse,60.7161,-135.0538,34.57,44,75,2.3
382,savannah bight,16.45,-85.85,79.77,75,11,9.73
383,lyuban,52.7985,28.0048,40.26,96,100,6.44
384,zomin,39.9606,68.3958,62.76,71,88,5.79
385,niwari,28.8833,77.5333,103.78,12,21,8.43
386,maceio,-9.6658,-35.7353,72.84,94,75,5.75
387,bougouni,11.417,-7.479,82.69,42,88,3.4
388,yagodnoye,62.55,149.6667,25.77,67,44,3.69
389,chulym,55.0997,80.9572,45.46,44,86,11.12
390,aykhal,66.0,111.5,16.97,81,100,8.86
391,apt,43.8833,5.4,49.87,77,100,6.35
392,howard springs,-12.497,131.047,89.51,53,91,4.88
393,lata,40.1629,-8.3327,41.92,83,13,5.77
394,leshukonskoye,64.8989,45.7622,28.8,78,97,9.31
395,tongchuan,35.0806,109.0897,72.48,22,0,11.86
396,nargana,9.4428,-78.5906,77.52,83,97,9.13
397,buraydah,26.326,43.975,77.45,13,62,14.25
398,vila franca do campo,37.7167,-25.4333,60.19,68,71,6.46
399,avera,33.194,-82.5271,43.75,52,0,4.76
400,meulaboh,4.1363,96.1285,84.88,66,97,4.99
401,coahuayana,18.7333,-103.6833,71.1,88,2,2.98
402,hasaki,35.7333,140.8333,55.8,78,100,12.86
403,olafsvik,64.8945,-23.7142,40.53,82,100,23.6
404,gamba,-2.65,10.0,74.71,96,100,4.81
405,butembo,0.15,29.2833,58.84,97,100,1.88
406,camopi,3.1655,-52.3158,71.76,100,97,1.99
407,los llanos de aridane,28.6585,-17.9182,58.12,75,100,14.97
408,bakchar,57.0186,82.0711,45.57,43,89,7.18
409,sawakin,19.1059,37.3321,82.76,81,21,16.82
410,minab,27.1467,57.0801,80.92,61,0,0.0
411,kalamnuri,19.6667,77.3333,101.43,11,87,11.79
412,eganville,45.5334,-77.0994,33.51,88,99,15.23
413,estreito,-5.7833,-43.25,72.28,98,100,3.76
414,urcos,-13.6861,-71.6228,48.09,92,53,2.62
415,te anau,-45.4167,167.7167,60.01,98,100,3.56
416,makakilo city,21.3469,-158.0858,75.06,62,40,17.27
417,russell,32.3502,-85.1999,43.47,92,0,0.0
418,pervomayskoye,43.919,46.7102,57.65,68,89,8.48
419,manzhouli,49.6,117.4333,46.4,25,100,15.08
420,chatham,51.3789,0.5279,44.91,75,95,3.0
421,mandurah,-32.55,115.7,75.9,47,0,7.38
422,almenara,-16.1836,-40.6944,67.51,87,55,1.19
423,aksu,41.1231,80.2644,77.25,12,73,3.65
424,cairns,-16.9167,145.7667,86.94,67,75,23.02
425,komsomolskiy,40.4272,71.7189,63.32,77,75,4.61
426,herat,34.5,62.0,62.65,39,3,7.72
427,brownwood,31.7093,-98.9912,65.16,88,100,14.97
428,maldonado,-34.6667,-54.9167,60.19,88,78,7.23
429,kashiwazaki,37.3667,138.55,70.88,45,1,5.28
430,bijapur,16.8333,75.7,96.17,21,26,13.18
431,sao joao da barra,-21.6403,-41.0511,68.25,91,5,7.36
432,deniliquin,-35.5333,144.9667,65.43,62,61,8.08
433,lavrentiya,65.5833,-171.0,24.46,82,1,3.85
434,ilulissat,69.2167,-51.1,-14.03,90,50,8.28
435,san isidro,-12.1167,-77.05,70.02,76,0,12.66
436,the valley,18.217,-63.0578,78.66,66,18,18.19
437,kaura namoda,12.5898,6.5779,80.71,45,69,2.48
438,luderitz,-26.6481,15.1594,75.34,28,0,14.79
439,trinidad,-14.8333,-64.9,71.71,82,7,2.66
440,hailar,49.2,119.7,47.05,49,100,15.66
441,eureka,40.8021,-124.1637,48.63,84,37,1.01
442,nagutskoye,44.4415,42.8762,53.82,88,79,13.91
443,salta,-24.7859,-65.4117,57.58,84,20,2.3
444,baniyas,35.1819,35.9487,61.09,81,36,8.19
445,piney green,34.716,-77.3202,42.82,93,0,0.0
446,honningsvag,70.9821,25.9704,40.75,75,0,18.41
447,maine-soroa,13.2114,12.0241,83.53,15,96,7.38
448,ambilobe,-13.2,49.05,79.09,81,57,1.9
449,ust-nera,64.5667,143.2,25.2,80,100,4.5
450,kolosovka,56.4678,73.611,42.13,87,100,7.36
451,buarcos,40.166,-8.8768,52.14,66,32,25.52
452,qandala,11.472,49.8728,86.81,41,1,6.96
453,big rapids,43.6981,-85.4837,26.31,88,0,0.0
454,zaranj,30.9667,61.8833,73.36,17,0,2.75
455,gravdal,68.1214,13.5031,37.29,100,100,2.3
456,vao,-22.6667,167.4833,76.14,68,0,7.92
457,jiuquan,39.7432,98.5174,71.2,7,100,18.25
458,santa maria,-29.6842,-53.8069,59.54,89,33,4.38
459,ulaanbaatar,47.9077,106.8832,37.53,52,40,22.37
460,tiznit,29.5833,-9.5,57.63,54,1,4.94
461,kilindoni,-7.9139,39.6668,81.09,80,97,16.33
462,paluan,13.416,120.4623,85.12,67,96,5.17
463,riyadh,24.6877,46.7219,75.34,11,43,8.5
464,baykit,61.67,96.37,24.96,77,100,9.01
465,turukhansk,65.8167,87.9833,13.46,81,100,6.93
466,neya,58.2972,43.8681,39.76,85,56,7.85
467,irbil,36.1926,44.0106,75.02,20,75,8.05
468,mwaro,-3.5,29.6667,55.6,94,100,1.52
469,san juan,-31.5375,-68.5364,64.99,46,0,2.77
470,aljezur,37.3191,-8.8033,54.12,67,98,23.2
